token,language,predicate,theme
läuft,de,runtime_state,container
laeuft,de,runtime_state,container
laufen,de,runtime_state,container
running,en,runtime_state,container
aktiv,de,runtime_state,container
active,en,runtime_state,container
container,de,,container
container,en,,container
containers,en,,container
starte,de,lifecycle_action,container
start,en,lifecycle_action,container
stoppe,de,lifecycle_action,container
stop,en,lifecycle_action,container
restart,en,lifecycle_action,container
neustart,de,lifecycle_action,container
neustarten,de,lifecycle_action,container
logs,de,log_state,container
logs,en,log_state,container
protokoll,de,log_state,container
