token,language,modifier_kind,modifier_value
nicht,de,polarity,negative
kein,de,polarity,negative
keine,de,polarity,negative
not,en,polarity,negative
don't,en,polarity,negative
no,en,polarity,negative
kann,de,modality,can
kannst,de,modality,can
könnte,de,modality,can
koennte,de,modality,can
can,en,modality,can
could,en,modality,can
muss,de,modality,must
soll,de,modality,must
must,en,modality,must
should,en,modality,must
möchte,de,modality,want
moechte,de,modality,want
will,de,modality,want
want,en,modality,want
jetzt,de,temporal,current
aktuell,de,temporal,current
gerade,de,temporal,current
heute,de,temporal,current
now,en,temporal,current
currently,en,temporal,current
today,en,temporal,current
gestern,de,temporal,past
vorhin,de,temporal,past
yesterday,en,temporal,past
earlier,en,temporal,past
